location,Number of Attacks,Latitude,Longitude,Ice Cream Stores in a Mile
"New Smyrna Beach, Volusia County",64,29.0258191,-80.9269984,15
"Cocoa Beach, Brevard  County",14,28.3200067,-80.6075513,12
"Melbourne Beach, Brevard County",12,28.0683496,-80.5603303,11
"Ponce Inlet, Volusia County",10,29.0963729,-80.9369983,5
"Myrtle Beach, Horry County",8,33.6890603,-78.8866943,15
"Jacksonville Beach, Duval County",6,30.2841224,-81.3961338,15
"Ormond Beach, Volusia County",5,29.2858129,-81.0558894,15
"Playalinda Beach, Brevard County",4,28.6555177,-80.6318287,0
"Bethune Beach, Volusia County",4,28.9491539,-80.83783,4
"Ocean Isle, Brunswick County",4,33.8877282,-78.4364471,13
"Folly Beach, Charleston County",4,32.6551798,-79.9403673,5
"Juno Beach, Palm Beach County",4,26.8797819,-80.0533743,14
New Smyrna Beach,4,29.0258191,-80.9269984,15
"Hilton Head Island, Beaufort County",4,32.216316,-80.752608,9
"Huntington Beach, Orange County",3,33.6594835,-117.9988026,15
"Florida Keys, Monroe County",3,25.0273356,-81.5357506,0
"Hanalei Bay, Kauai",3,22.2090776,-159.5067583,15
"Jensen Beach, Martin County ",3,27.2544906,-80.2297697,13
Maui,3,20.7983626,-156.3319253,4
Galveston,3,29.3013479,-94.7976958,15
"Lori Wilson Park, Cocoa Beach, Brevard  County",3,28.3371416,-80.609485,15
"Vero Beach, Indian River County",3,27.6386434,-80.3972736,15
"Bald Head Island, Brunswick County",3,33.8737069,-78.0015309,9
"Isle of Palms, Charleston County",3,32.8194131,-79.7343791,6
"North Myrtle Beach, Horry County",3,33.8160058,-78.680016,15
"Ponte Vedra, St. Johns County",3,30.2400058,-81.3852595,10
"New Smyrna Beach,  Volusia County",3,29.0258191,-80.9269984,15
Santa Barbara County,3,34.4208305,-119.6981901,15
"Sunset Beach, Brunswick County",2,33.8820632,-78.5183816,8
Crescent Beach St. Johns County,2,29.76886,-81.2536786,2
"Bunkers, Humboldt Bay, Eureka, Humboldt County",2,40.7195153,-124.242601,2
"Kanaha Beach, Maui",2,20.8996987,-156.4405938,15
"South Padre Island, Cameron County",2,26.1118401,-97.1681257,15
"Floridana Beach, Brevard County",2,27.9456312,-80.497996,1
"Atlantic Beach, Emerald Isle, Carteret County",2,34.6628147,-77.0415058,15
"White Plains Beach, Oahu",2,21.3035275,-158.0452282,10
"Fort Lauderdale, Broward County",2,26.1224386,-80.1373174,15
