attack_date,attack_year,attack_type,attack_state,attack_location,activity,number_of_attacks,latitude,longitude,ice_cream
07-Aug-2021,2021.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,64,29.0258191,-80.9269984,15
07-Aug-2021,2021.0,Unprovoked,Florida,"Key Largo, Monroe County",Snorkeling,1,25.0865151,-80.4472802,15
02-Aug-2021,2021.0,Unprovoked,Maryland,"Ocean City, Worcester County",Swimming,1,38.3365032,-75.0849058,15
30-Jul-2021,2021.0,Provoked,Florida,"Ponce Inlet, Volusia County",Fishing,10,29.0963729,-80.9369983,5
27-Jul-2021,2021.0,Unprovoked,North Carolina,Wrightsville Beach,Standing,2,34.2085036,-77.7963709,14
27-Jul-2021,2021.0,Unprovoked,Georgia,"Tybee Island, Chatham County",Surfing,2,32.0002152,-80.845666,12
26-Jul-2021,2021.0,Unprovoked,New York,"Jones Beach, Nassau County",Swimming,1,40.6106158,-73.4445392,7
21-Jul-2021,2021.0,Unprovoked,California,"Capitola Beach, Santa Cruz County",Surfing,1,36.9716173,-121.9516263,15
15-Jul-2021,2021.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,64,29.0258191,-80.9269984,15
10-Jul-2021,2021.0,Unprovoked,Florida,"Bathtub Beach, Martin County",Playing,1,27.186242,-80.16036,7
10-Jul-2021,2021.0,Unprovoked,Florida,"46 miles off Mayport, Duval County",Spearfishing,1,30.3923949,-81.4299586,2
04-Jul-2021,2021.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Standing,10,29.0963729,-80.9369983,5
30-Jun-2021,2021.0,Unprovoked,California,"Catalina Island, Orange County",Canoeing,1,33.3878856,-118.4163103,0
28-Jun-2021,2021.0,Unprovoked,Florida,"Block Houe Beach, Brevard County",Surfing,1,28.2525727,-80.6031587,0
27-Jun-2021,2021.0,Unprovoked,North Carolina,"Ocean Isle, Brunswick County",Swimming,4,33.8877282,-78.4364471,13
